,0
1036,42.8
1037,73.7
1038,382.3
1039,81.3
1040,39.7
1041,8.4
1042,21.1
1043,11.9
1044,0.8
1045,2.4
1046,6.1
1047,14.3
1048,17.9
1049,21.2
1050,24.5
1051,25.5
1052,20.7
1053,13.6
1054,7.1
1055,1.4
1056,3.9
1057,7.1
1058,10.7
1059,20.5
1060,23.4
1061,26.2
1062,28.5
1063,29.7
1064,25.1
1065,18.8
1066,11.2
1067,4.9
1068,44.6
1069,32.7
1070,116.7
1071,14.0
1072,41.1
1073,177.1
1074,343.5
1075,329.4
1076,101.2
1077,69.9
1078,154.5
1079,12.4
1080,-3.2
1081,2.7
1082,7.2
1083,11.3
1084,16.2
1085,20.7
1086,24.9
1087,26.4
1088,21.1
1089,15.4
1090,10.0
1091,0.8
1092,0.2
1093,5.8
1094,11.5
1095,16.3
1096,21.0
1097,24.6
1098,28.4
1099,30.9
1100,25.7
1101,21.3
1102,14.6
1103,4.8
1104,62.2
1105,64.8
1106,92.3
1107,94.2
1108,122.8
1109,497.2
1110,486.5
1111,283.5
1112,570.1
1113,0.0
1114,56.0
1115,25.9
1116,-2.6
1117,-0.9
1118,4.9
1119,13.0
1120,17.5
1121,22.6
1122,24.3
1123,25.5
1124,21.1
1125,13.8
1126,6.5
1127,2.2
1128,1.6
1129,3.1
1130,9.6
1131,19.1
1132,22.8
1133,27.6
1134,27.8
1135,30.0
1136,25.5
1137,19.5
1138,10.9
1139,5.9
1140,14.4
1141,28.4
1142,65.5
1143,48.5
1144,83.2
1145,81.8
1146,487.8
1147,68.2
1148,175.2
1149,27.3
1150,35.0
1151,42.9
1152,-0.2
1153,0.7
1154,7.6
1155,12.0
1156,16.4
1157,20.9
1158,24.8
1159,24.8
1160,20.9
1161,14.0
1162,6.2
1163,1.5
1164,3.4
1165,5.0
1166,12.2
1167,17.5
1168,21.9
1169,26.0
1170,28.4
1171,28.9
1172,25.1
1173,18.9
1174,10.8
1175,5.1
1176,13.6
1177,46.6
1178,11.2
1179,76.5
1180,155.5
1181,99.6
1182,270.1
1183,418.8
1184,168.5
1185,33.6
1186,89.5
1187,71.4
1188,-1.9
1189,1.0
1190,5.8
1191,10.6
1192,18.2
1193,21.3
1194,23.3
1195,23.2
1196,21.2
1197,13.4
1198,8.5
1199,-0.2
1200,1.9
1201,5.3
1202,10.5
1203,15.8
1204,23.8
1205,25.8
1206,27.6
1207,27.5
1208,26.3
1209,19.3
1210,12.5
1211,3.8
1212,2.2
1213,69.5
1214,29.2
1215,85.5
1216,135.7
1217,198.2
1218,424.4
1219,197.8
1220,56.1
1221,15.4
1222,66.6
1223,12.1
1224,-0.9
1225,0.8
1226,4.0
1227,15.2
1228,17.9
1229,22.8
1230,28.5
1231,27.6
1232,21.0
1233,15.2
1234,9.3
1235,1.1
1236,3.1
1237,5.8
1238,8.9
1239,21.4
1240,23.1
1241,28.2
1242,32.6
1243,31.9
1244,26.1
1245,20.3
1246,13.6
1247,4.7
1248,6.5
1249,14.8
1250,31.7
1251,44.9
1252,152.4
1253,85.0
1254,139.5
1255,232.7
1256,60.7
1257,214.5
1258,49.6
1259,23.5
1260,-2.1
1261,1.2
1262,6.0
1263,11.3
1264,17.1
1265,21.6
1266,24.5
1267,26.0
1268,20.0
1269,15.5
1270,6.2
1271,-1.0
1272,1.8
1273,6.0
1274,10.3
1275,16.7
1276,22.1
1277,26.3
1278,27.8
1279,29.2
1280,24.5
1281,20.6
1282,11.5
1283,3.0
1284,11.6
1285,5.2
1286,60.6
1287,44.4
1288,60.6
1289,70.7
1290,436.1
1291,786.6
1292,47.2
1293,39.3
1294,32.9
1295,3.4
1296,-2.2
1297,-1.6
1298,4.9
1299,10.2
1300,18.4
1301,22.3
1302,24.4
1303,26.0
1304,22.0
1305,14.5
1306,6.1
1307,1.6
1308,2.3
1309,3.2
1310,9.5
1311,15.1
1312,24.2
1313,26.5
1314,28.3
1315,29.8
1316,27.3
1317,19.4
1318,10.3
1319,6.0
1320,16.3
1321,1.0
1322,77.9
1323,62.0
1324,29.3
1325,249.7
1326,512.8
1327,132.4
1328,11.0
1329,90.3
1330,62.9
1331,11.0
1332,-3.3
1333,0.7
1334,6.8
1335,13.0
1336,17.0
1337,23.4
1338,26.1
1339,26.8
1340,20.2
1341,13.4
1342,8.8
1343,1.8
1344,1.2
1345,5.6
1346,11.8
1347,18.1
1348,21.5
1349,28.5
1350,30.1
1351,31.3
1352,25.4
1353,19.0
1354,13.7
1355,5.7
1356,16.8
1357,39.6
1358,25.3
1359,56.1
1360,291.3
1361,110.0
1362,299.6
1363,117.2
1364,76.9
1365,45.5
1366,93.8
1367,38.1
1368,-1.4
1369,3.4
1370,7.3
1371,15.6
1372,19.0
1373,21.9
1374,24.9
1375,25.0
1376,23.0
1377,17.0
1378,7.3
1379,2.3
1380,2.8
1381,7.8
1382,12.5
1383,20.9
1384,24.3
1385,26.4
1386,28.6
1387,28.8
1388,27.8
1389,22.0
1390,12.2
1391,6.6
1392,10.4
1393,32.3
1394,45.1
1395,120.2
1396,121.5
1397,234.1
1398,311.8
1399,1237.8
1400,177.9
1401,27.4
1402,26.9
1403,3.7
1404,-0.8
1405,0.7
1406,6.7
1407,13.9
1408,17.5
1409,23.1
1410,25.9
1411,26.0
1412,22.9
1413,14.3
1414,7.9
1415,0.4
1416,3.5
1417,5.0
1418,11.7
1419,19.3
1420,22.7
1421,28.3
1422,30.0
1423,30.2
1424,27.0
1425,19.1
1426,12.6
1427,4.4
1428,10.2
1429,2.9
1430,55.0
1431,97.2
1432,109.7
1433,131.8
1434,230.4
1435,600.5
1436,377.3
1437,81.6
1438,19.5
1439,17.0
1440,-2.1
1441,-1.7
1442,6.3
1443,11.9
1444,17.5
1445,23.7
1446,26.8
1447,26.2
1448,20.7
1449,14.9
1450,7.0
1451,0.9
1452,1.7
1453,2.6
1454,11.4
1455,16.9
1456,22.7
1457,29.2
1458,31.0
1459,30.0
1460,24.8
1461,19.2
1462,11.1
1463,4.9
1464,42.8
1465,2.1
1466,3.1
1467,30.7
1468,75.2
1469,68.1
1470,114.7
1471,599.4
